04/08/2021 00:42:07 | RenderReport | loadData

04/08/2021 00:42:07 | RenderReport | 021100426768

04/08/2021 00:42:07 | SyncInvokeGetCsPrintFromWebPart | Lecture debut

04/08/2021 00:42:07 | SyncInvokeGetCsPrintFromWebPart | 021100426768

04/08/2021 00:42:07 | SyncInvokeGetCsPrintFromWebPart | Lecture OK

04/08/2021 00:42:07 | LoadData | 021100426768

04/08/2021 00:42:07 | LoadData | Aucune données

04/08/2021 00:42:07 | LoadData | Parametre non trouvé

04/08/2021 00:42:07 | data | data Aucun

04/08/2021 00:42:07 | RunCreationPDF | \\LAP-IVS-01\Impression

04/08/2021 00:42:08 | RunCreationPDF | The source of the report definition has not been specified

04/08/2021 00:44:55 | RenderReport | loadData

04/08/2021 00:44:55 | RenderReport | 021100445563

04/08/2021 00:44:55 | SyncInvokeGetCsPrintFromWebPart | Lecture debut

04/08/2021 00:44:55 | SyncInvokeGetCsPrintFromWebPart | 021100445563

04/08/2021 00:44:55 | SyncInvokeGetCsPrintFromWebPart | Lecture OK

04/08/2021 00:44:55 | LoadData | 021100445563

04/08/2021 00:44:55 | LoadData | Aucune données

04/08/2021 00:44:55 | LoadData | Parametre non trouvé

04/08/2021 00:44:55 | data | data Aucun

04/08/2021 00:44:55 | RunCreationPDF | \\LAP-IVS-01\Impression

04/08/2021 00:44:55 | RunCreationPDF | The source of the report definition has not been specified

04/08/2021 01:29:13 | RenderReport | loadData

04/08/2021 01:29:13 | RenderReport | 0211012911878

04/08/2021 01:29:13 | SyncInvokeGetCsPrintFromWebPart | Lecture debut

04/08/2021 01:29:13 | SyncInvokeGetCsPrintFromWebPart | 0211012911878

04/08/2021 01:29:13 | SyncInvokeGetCsPrintFromWebPart | Lecture OK

04/08/2021 01:29:13 | LoadData | 0211012911878

04/08/2021 01:29:13 | LoadData | données trouve

04/08/2021 01:29:13 | LoadData | Parametre non trouvé

04/08/2021 01:29:13 | data | data trouve

04/08/2021 01:29:13 | CreatePDFChemin | ~/Reports/Devis/FicheProgrammation.rdlc | Chemin du fichier rdlc

04/08/2021 01:29:13 | CreatePDFChemin | Add DataSources ok

04/08/2021 01:29:13 | RunCreationPDF | \\LAP-IVS-01\Impression

04/08/2021 01:30:07 | RenderReport | loadData

